short_name,AKBNK,ARCLK,ASELS,BIMAS,DOHOL,EKGYO,EREGL,FROTO,GARAN,GUBRF,HALKB,ISCTR,KCHOL,KOZAA,KOZAL,KRDMD,PETKM,PGSUS,SAHOL,SASA,SISE,TAVHL,TCELL,THYAO,TKFEN,TTKOM,TUPRS,VAKBN,VESTL,YKBNK
AKBNK,,0.927586503206565,0.9603335917124187,0.9565075973702429,0.9521714488613626,0.9170572925014514,,0.941890913240258,0.9926187726368645,0.928497575498444,,0.9874282305265776,0.9829700448734875,0.9043186478684089,0.9156342435417852,,,0.9730818805273751,0.9683178557481086,,0.9279588943621161,0.9568574009361746,0.9640007102076189,0.978084307808341,0.9278159473705371,0.9149329912221288,0.9787156442159367,0.9454688109117356,,0.9858912939353367
ARCLK,0.927586503206565,,0.9664644897373017,0.9449997723144549,0.9733634926099072,0.9485393135884237,0.9394711092623971,0.9855670597567486,0.9381931488987666,0.9694832895295755,,0.9415475602218536,0.9682250340612748,0.9777595094455884,0.958446746604552,0.9810867412864599,0.9679861300236592,0.9630113389998584,0.9803001066869966,0.9344224268673964,0.9852984057412643,0.9702279823891923,0.966941288758517,0.9556574652575957,0.921665323999705,0.9666608842768781,0.9423260375510266,,0.9469747668717117,0.9575736840774915
ASELS,0.9603335917124187,0.9664644897373017,,0.9605272805054584,0.984010061682805,0.962342903645116,,0.9694254794788975,0.9567713737280669,0.9781743073246654,,0.9657285255966549,0.9785215183930676,0.9617881102573584,0.9665740781012713,0.9467324428008619,0.948654872833345,0.9764330072339038,0.9809747020259633,0.9097175701636996,0.9669493174686432,0.9609643626206051,0.9856503321832969,0.9756195331592723,0.9301251524048574,0.9681600199229919,0.9652999743327496,0.9010064682827117,0.9333153221498597,0.9744413219239417
BIMAS,0.9565075973702429,0.9449997723144549,0.9605272805054584,,0.9698648710121728,,,0.963754734932927,0.9677800645139845,0.9549766274749896,,0.969043660181818,0.9785201998487565,0.9341888357785544,0.9061202842045226,0.927172632252274,0.9187026698939145,0.956820265054113,0.9580948827715489,,0.9317007190826474,0.9463947911426688,0.9714204675241959,0.951404266709565,,0.9151358382220302,0.9680680198310767,,,0.9704278550343293
DOHOL,0.9521714488613626,0.9733634926099072,0.984010061682805,0.9698648710121728,,0.9585061046696057,,0.9804774986157939,0.9569337045711684,0.9880376666647918,,0.9625056600421038,0.9801252631094044,0.9683193252789172,0.9725534703651699,0.9498578625453499,0.9495845276679898,0.9827190120501799,0.9820691870736412,0.9229162007873738,0.9713765580699834,0.9644132411573164,0.9840133002204163,0.9716701096120386,0.9238575979668842,0.9697626720067409,0.9569632484506801,,0.9497540954736332,0.9739301370664256
EKGYO,0.9170572925014514,0.9485393135884237,0.962342903645116,,0.9585061046696057,,,0.9391872407822713,0.9132147309982203,0.9595439770107681,,0.9216265522069905,0.935447628287665,0.9470473163662356,0.9780176432595792,0.9195205161129372,0.94252182205303,0.9599460911482801,0.9699129365594701,0.9517650579042837,0.9729516089537247,0.9478234489379395,0.9465675194913884,0.9603905535855379,0.927384453713892,0.9712441516116812,0.9054796726099964,,0.9395857552697103,0.943501871915385
EREGL,,0.9394711092623971,,,,,,0.9047660247508184,,,,,,0.9385244719783096,,0.9591874687393754,0.9561696732947592,,,0.9036841991618264,0.925723169869444,,,,,0.9096609278865398,,,0.9356755189640295,
FROTO,0.941890913240258,0.9855670597567486,0.9694254794788975,0.963754734932927,0.9804774986157939,0.9391872407822713,0.9047660247508184,,0.9534798587426224,0.975309537472579,,0.9479719660199697,0.9822549561846649,0.9634639857650276,0.9529944434624013,0.9722154871958121,0.9469622433787818,0.9753773326768677,0.9790018218330547,0.9233887634008877,0.9707280124325844,0.9632201556774785,0.9766338814220726,0.9682349910180995,0.9050496250135611,0.9519297911487883,0.9481382131541647,,0.9304910268516711,0.9650140114845112
GARAN,0.9926187726368645,0.9381931488987666,0.9567713737280669,0.9677800645139845,0.9569337045711684,0.9132147309982203,,0.9534798587426224,,0.9347387681985976,,0.983067793774708,0.9856970097072371,0.9159690072079695,0.9119743674899133,0.9062854259821371,0.9086742551437664,0.9750142683463189,0.9724687640928608,,0.9340956923280718,0.9637764972821682,0.9707793701970924,0.9772241981195918,0.9210500193444402,0.9190448768990034,0.97563704690573,0.9233722370212302,,0.9855391956928273
GUBRF,0.928497575498444,0.9694832895295755,0.9781743073246654,0.9549766274749896,0.9880376666647918,0.9595439770107681,,0.975309537472579,0.9347387681985976,,,0.944282539996352,0.9667276335339715,0.9745162371873438,0.9719731980079386,0.9568963806338688,0.9600690289948386,0.9670810411408601,0.9729045765091701,0.9296601646953236,0.9685004530872626,0.9557098382166354,0.9776262155127112,0.9587232641397423,0.9184013619927835,0.9714738912816465,0.9394559331839063,,0.9635178060936076,0.9595181150546973
HALKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9380952533380466,,
ISCTR,0.9874282305265776,0.9415475602218536,0.9657285255966549,0.969043660181818,0.9625056600421038,0.9216265522069905,,0.9479719660199697,0.983067793774708,0.944282539996352,,,0.9834746482890719,0.9208289806799929,0.9244134452900998,0.9138890282380127,0.9145871211762897,0.9666481350473045,0.971102700250673,,0.9432914886880416,0.9591465073134366,0.9649549769763196,0.97082755940253,0.9299786377390012,0.9244182705569206,0.9861149440959684,0.9343975580771425,,0.9887071378173841
KCHOL,0.9829700448734875,0.9682250340612748,0.9785215183930676,0.9785201998487565,0.9801252631094044,0.935447628287665,,0.9822549561846649,0.9856970097072371,0.9667276335339715,,0.9834746482890719,,0.9485913742816886,0.9465437180843067,0.9450519557364712,0.9330579122245996,0.9862383591960618,0.9860204042424028,0.9014140910917864,0.9612846559640237,0.9736367184821166,0.9854880012834558,0.9866131265300746,0.932124244628894,0.94458413750411,0.9838653296640854,,0.9007429706320306,0.9894025474631152
KOZAA,0.9043186478684089,0.9777595094455884,0.9617881102573584,0.9341888357785544,0.9683193252789172,0.9470473163662356,0.9385244719783096,0.9634639857650276,0.9159690072079695,0.9745162371873438,,0.9208289806799929,0.9485913742816886,,0.9655726007226025,0.9685912490458932,0.9679076891307172,0.9488296045729001,0.9652001665195413,0.9309121330606346,0.9693830867642065,0.9574498382390755,0.9650346795287482,0.9389626831877721,0.9156834021775857,0.9774312149083498,0.9181650676613219,,0.9646110321250957,0.942139483480117
KOZAL,0.9156342435417852,0.958446746604552,0.9665740781012713,0.9061202842045226,0.9725534703651699,0.9780176432595792,,0.9529944434624013,0.9119743674899133,0.9719731980079386,,0.9244134452900998,0.9465437180843067,0.9655726007226025,,0.931983230833948,0.9322021315181593,0.9674600928691497,0.9642573384823286,0.9302155064594795,0.9677880760114855,0.9428549056618875,0.9570257372694031,0.957290677306817,0.9244518475073322,0.9768382325063097,0.918707970206371,,0.9477312161672812,0.9373985423009897
KRDMD,,0.9810867412864599,0.9467324428008619,0.927172632252274,0.9498578625453499,0.9195205161129372,0.9591874687393754,0.9722154871958121,0.9062854259821371,0.9568963806338688,,0.9138890282380127,0.9450519557364712,0.9685912490458932,0.931983230833948,,0.9651838767695868,0.9268021206805294,0.9505225718508904,0.9023847569871292,0.9568087706467625,0.9418052099695486,0.9475032460343694,0.9213452109228416,,0.9434544322330789,0.9170898432350961,,0.9426489677938337,0.9304368960897432
PETKM,,0.9679861300236592,0.948654872833345,0.9187026698939145,0.9495845276679898,0.94252182205303,0.9561696732947592,0.9469622433787818,0.9086742551437664,0.9600690289948386,,0.9145871211762897,0.9330579122245996,0.9679076891307172,0.9322021315181593,0.9651838767695868,,0.9254075298897664,0.9596949824924176,0.9365686167913099,0.9700239865592047,0.9636090427016804,0.9478510348494321,0.9237739351562934,0.9227694624348256,0.9586731334798395,0.9111983454808315,,0.9686190965678165,0.9400299311892861
PGSUS,0.9730818805273751,0.9630113389998584,0.9764330072339038,0.956820265054113,0.9827190120501799,0.9599460911482801,,0.9753773326768677,0.9750142683463189,0.9670810411408601,,0.9666481350473045,0.9862383591960618,0.9488296045729001,0.9674600928691497,0.9268021206805294,0.9254075298897664,,0.9875049326155376,0.925363502729007,0.9676779171462394,0.9723271817158751,0.980771220231303,0.9930364101033123,0.9345731133381648,0.9583027331638725,0.9636006352233744,,0.9140219145862818,0.9785880138556518
SAHOL,0.9683178557481086,0.9803001066869966,0.9809747020259633,0.9580948827715489,0.9820691870736412,0.9699129365594701,,0.9790018218330547,0.9724687640928608,0.9729045765091701,,0.971102700250673,0.9860204042424028,0.9652001665195413,0.9642573384823286,0.9505225718508904,0.9596949824924176,0.9875049326155376,,0.9489003322375631,0.9882789046663545,0.9860946689260003,0.9825619125728539,0.987893892987553,0.9461420298428498,0.9707193331616509,0.9653918152450031,,0.9314189501906774,0.9876696041775255
SASA,,0.9344224268673964,0.9097175701636996,,0.9229162007873738,0.9517650579042837,0.9036841991618264,0.9233887634008877,,0.9296601646953236,,,0.9014140910917864,0.9309121330606346,0.9302155064594795,0.9023847569871292,0.9365686167913099,0.925363502729007,0.9489003322375631,,0.9684290193321626,0.9412750552163701,0.9093410674706364,0.9244340185984996,0.9016335353956989,0.9366263544561448,,,0.9303344321278396,0.9160848877608012
SISE,0.9279588943621161,0.9852984057412643,0.9669493174686432,0.9317007190826474,0.9713765580699834,0.9729516089537247,0.925723169869444,0.9707280124325844,0.9340956923280718,0.9685004530872626,,0.9432914886880416,0.9612846559640237,0.9693830867642065,0.9677880760114855,0.9568087706467625,0.9700239865592047,0.9676779171462394,0.9882789046663545,0.9684290193321626,,0.979017113001101,0.9606221436973869,0.9663186747415876,0.9424769764107599,0.9708481963343089,0.9384212371253081,,0.9493412638945606,0.9629613907146701
TAVHL,0.9568574009361746,0.9702279823891923,0.9609643626206051,0.9463947911426688,0.9644132411573164,0.9478234489379395,,0.9632201556774785,0.9637764972821682,0.9557098382166354,,0.9591465073134366,0.9736367184821166,0.9574498382390755,0.9428549056618875,0.9418052099695486,0.9636090427016804,0.9723271817158751,0.9860946689260003,0.9412750552163701,0.979017113001101,,0.9635239307270741,0.9761756098196851,0.9625135377156916,0.9524079189343871,0.9579486264411645,,0.9244242792684352,0.977919477311566
TCELL,0.9640007102076189,0.966941288758517,0.9856503321832969,0.9714204675241959,0.9840133002204163,0.9465675194913884,,0.9766338814220726,0.9707793701970924,0.9776262155127112,,0.9649549769763196,0.9854880012834558,0.9650346795287482,0.9570257372694031,0.9475032460343694,0.9478510348494321,0.980771220231303,0.9825619125728539,0.9093410674706364,0.9606221436973869,0.9635239307270741,,0.9737259401242231,0.9261813566449886,0.9682204518319429,0.9656823327957912,,0.9309618829933102,0.9760023608397003
THYAO,0.978084307808341,0.9556574652575957,0.9756195331592723,0.951404266709565,0.9716701096120386,0.9603905535855379,,0.9682349910180995,0.9772241981195918,0.9587232641397423,,0.97082755940253,0.9866131265300746,0.9389626831877721,0.957290677306817,0.9213452109228416,0.9237739351562934,0.9930364101033123,0.987893892987553,0.9244340185984996,0.9663186747415876,0.9761756098196851,0.9737259401242231,,0.9421599570295094,0.94645415779262,0.9688839805791886,0.9073101468139083,,0.9833206281954746
TKFEN,0.9278159473705371,0.921665323999705,0.9301251524048574,,0.9238575979668842,0.927384453713892,,0.9050496250135611,0.9210500193444402,0.9184013619927835,,0.9299786377390012,0.932124244628894,0.9156834021775857,0.9244518475073322,,0.9227694624348256,0.9345731133381648,0.9461420298428498,0.9016335353956989,0.9424769764107599,0.9625135377156916,0.9261813566449886,0.9421599570295094,,0.9208484594906788,0.9276864624892404,,,0.939731954071842
TTKOM,0.9149329912221288,0.9666608842768781,0.9681600199229919,0.9151358382220302,0.9697626720067409,0.9712441516116812,0.9096609278865398,0.9519297911487883,0.9190448768990034,0.9714738912816465,,0.9244182705569206,0.94458413750411,0.9774312149083498,0.9768382325063097,0.9434544322330789,0.9586731334798395,0.9583027331638725,0.9707193331616509,0.9366263544561448,0.9708481963343089,0.9524079189343871,0.9682204518319429,0.94645415779262,0.9208484594906788,,0.9152993271132134,,0.9632955194109906,0.9453239780556708
TUPRS,0.9787156442159367,0.9423260375510266,0.9652999743327496,0.9680680198310767,0.9569632484506801,0.9054796726099964,,0.9481382131541647,0.97563704690573,0.9394559331839063,,0.9861149440959684,0.9838653296640854,0.9181650676613219,0.918707970206371,0.9170898432350961,0.9111983454808315,0.9636006352233744,0.9653918152450031,,0.9384212371253081,0.9579486264411645,0.9656823327957912,0.9688839805791886,0.9276864624892404,0.9152993271132134,,0.9057117829466245,,0.975505221102106
VAKBN,0.9454688109117356,,0.9010064682827117,,,,,,0.9233722370212302,,0.9380952533380466,0.9343975580771425,,,,,,,,,,,,0.9073101468139083,,,0.9057117829466245,,,0.9309595140899249
VESTL,,0.9469747668717117,0.9333153221498597,,0.9497540954736332,0.9395857552697103,0.9356755189640295,0.9304910268516711,,0.9635178060936076,,,0.9007429706320306,0.9646110321250957,0.9477312161672812,0.9426489677938337,0.9686190965678165,0.9140219145862818,0.9314189501906774,0.9303344321278396,0.9493412638945606,0.9244242792684352,0.9309618829933102,,,0.9632955194109906,,,,0.9021106101066511
YKBNK,0.9858912939353367,0.9575736840774915,0.9744413219239417,0.9704278550343293,0.9739301370664256,0.943501871915385,,0.9650140114845112,0.9855391956928273,0.9595181150546973,,0.9887071378173841,0.9894025474631152,0.942139483480117,0.9373985423009897,0.9304368960897432,0.9400299311892861,0.9785880138556518,0.9876696041775255,0.9160848877608012,0.9629613907146701,0.977919477311566,0.9760023608397003,0.9833206281954746,0.939731954071842,0.9453239780556708,0.975505221102106,0.9309595140899249,0.9021106101066511,
